`` It 's really bizarre , '' says Albert Lerman , creative director at the Wells Rich Greene ad agency .	's	It	really bizarre
Japanese office workers use PCs at half the rate of their European counterparts and one - third that of the Americans .	use	Japanese office workers	PCs
She published more than 15 research publications , including International Journals , International Conferences , National Conferences , workshops and seminars .	published	She	more than 15 research publications
She published more than 15 research publications , including International Journals , International Conferences , National Conferences , workshops and seminars .	including	more than 15 research publications	International Journals , International Conferences , National Conferences , workshops and seminars
In the 1960s and 70s most of Kabul 's economy depended on tourism .	depended on	most of Kabul 's economy	tourism
One had best not dance on top of a coffin until the lid is sealed tightly shut . ''	had best not	One	dance on top of a coffin
Males had a median income of $ 28,750 versus $ 16,250 for females .	had	Males	a median income of $ 28,750
`` It 's a wait - and - see attitude , '' said Dave Vellante , vice president of storage research for International Data Corp .	said	Dave Vellante	`` It 's a wait - and - see attitude , ''
`` It 's a wait - and - see attitude , '' said Dave Vellante , vice president of storage research for International Data Corp .	's	It	a wait - and - see attitude
Tom Panelli had a perfectly good reason for not using the $ 300 rowing machine he bought three years ago .	had	Tom Panelli	a perfectly good reason
Tom Panelli had a perfectly good reason for not using the $ 300 rowing machine he bought three years ago .	not using	Tom Panelli	the $ 300 rowing machine he bought three years ago
Tom Panelli had a perfectly good reason for not using the $ 300 rowing machine he bought three years ago .	bought	Tom Panelli	the $ 300 rowing machine
Failure to perform the duty could lead to prosecution at law and re-enslavement .	could lead to	Failure to perform the duty	prosecution at law and re-enslavement
Since joining the competition in 1908 , Richmond has won ten premierships , the most recent victory being in 1980 .	joining	Richmond	the competition
Since joining the competition in 1908 , Richmond has won ten premierships , the most recent victory being in 1980 .	has won	Richmond	ten premierships
Since joining the competition in 1908 , Richmond has won ten premierships , the most recent victory being in 1980 .	being	the most recent victory	in 1980
`` I do n't foresee any shortages over the next few months , '' says Ken Allen , an official of Operating Engineers Local 3 in San Francisco .	do n't foresee	I	any shortages
In 1977 she appeared in two television films , as the mother of Lesley Ann Warren 's character in `` 79 Park Avenue '' and as Emily McPhail in `` Tell Me My Name '' .	appeared in	she	two television films
The suit alleged that they conspired to fix prices for e-books , and weaken Amazon.com 's position in the market , in violation of antitrust law .	conspired to fix	they	prices for e-books
The suit alleged that they conspired to fix prices for e-books , and weaken Amazon.com 's position in the market , in violation of antitrust law .	weaken	they	Amazon.com 's position in the market
A similar technique is almost impossible to apply to other crops , such as cotton , soybeans and rice .	is almost impossible to apply to	A similar technique	other crops
The diocese was originally erected as the Prefecture Apostolic of Hpyeng-yang on 17 March 1927 , and renamed as the Prefecture Apostolic of Peng-yang on 17 March 1929 .	was originally erected as	The diocese	the Prefecture Apostolic of Hpyeng-yang
The diocese was originally erected as the Prefecture Apostolic of Hpyeng-yang on 17 March 1927 , and renamed as the Prefecture Apostolic of Peng-yang on 17 March 1929 .	renamed as	The diocese	the Prefecture Apostolic of Peng-yang
An animal that cares for its young but shows no other sociality traits is said to be `` subsocial '' .	cares for	An animal	its young
An animal that cares for its young but shows no other sociality traits is said to be `` subsocial '' .	shows	An animal	no other sociality traits
That compares with 3.5 % butterfat for whole milk .	compares with	That	3.5 % butterfat for whole milk
The city was founded by the Western Town Lot Company in 1880 , and originally named Nordland , with the platted streets given Norwegian names .	was founded by	The city	the Western Town Lot Company
The city was founded by the Western Town Lot Company in 1880 , and originally named Nordland , with the platted streets given Norwegian names .	originally named	The city	Nordland
Reptiles identified during surveys include marbled geckos on both island groups while the following are limited to the main island in the Northern group - four-toed earless skink , bull skinks and western brown snakes .	include	Reptiles identified during surveys	marbled geckos on both island groups
Reptiles identified during surveys include marbled geckos on both island groups while the following are limited to the main island in the Northern group - four-toed earless skink , bull skinks and western brown snakes .	are limited to	the following	the main island
But although the golden share has been waived , a hostile bidder for Jaguar would still have to alter the British concern 's articles of association which ban shareholdings of more than 15 % .	would still have to alter	a hostile bidder for Jaguar	the British concern 's articles of association
But although the golden share has been waived , a hostile bidder for Jaguar would still have to alter the British concern 's articles of association which ban shareholdings of more than 15 % .	ban	the British concern 's articles of association	shareholdings of more than 15 %
The prices of most corn , soybean and wheat futures contracts dropped slightly as farmers in the Midwest continued to rebuild stockpiles that were depleted by the 1988 drought .	continued to rebuild	farmers in the Midwest	stockpiles that were depleted by the 1988 drought
The prices of most corn , soybean and wheat futures contracts dropped slightly as farmers in the Midwest continued to rebuild stockpiles that were depleted by the 1988 drought .	were depleted by	stockpiles	the 1988 drought
As a result , he said he will examine the Marcos documents sought by the prosecutors to determine whether turning over the filings is self - incrimination .	will examine	he	the Marcos documents sought by the prosecutors
As a result , he said he will examine the Marcos documents sought by the prosecutors to determine whether turning over the filings is self - incrimination .	sought by	Marcos documents	the prosecutors
As a result , he said he will examine the Marcos documents sought by the prosecutors to determine whether turning over the filings is self - incrimination .	determine	he will examine the Marcos documents sought by the prosecutors	whether turning over the filings is self - incrimination
As a result , he said he will examine the Marcos documents sought by the prosecutors to determine whether turning over the filings is self - incrimination .	is	turning over the filings	self - incrimination
The two leaders are expected to discuss changes sweeping the East bloc as well as human - rights issues , regional disputes and economic cooperation .	are expected to discuss	The two leaders	changes sweeping the East bloc
The second was named after former US President George H. W. Bush stayed aboard in November 1995 .	was named after	The second	former US President George H. W. Bush stayed aboard in November 1995
Much of the station remains in the disused subway but there is no public access .	remains in	Much of the station	the disused subway
Much of the station remains in the disused subway but there is no public access .	is	there	no public access
The last time IBM tapped the corporate debt market was in April 1988 , when it offered $ 500 million of debt securities .	was in	The last time IBM tapped the corporate debt market	April 1988
The last time IBM tapped the corporate debt market was in April 1988 , when it offered $ 500 million of debt securities .	tapped	IBM	the corporate debt market
The last time IBM tapped the corporate debt market was in April 1988 , when it offered $ 500 million of debt securities .	offered	it	$ 500 million of debt securities
Second , the dollar is showing persistent strength despite a slowdown in the U.S. economy shown by economic indicators .	is showing	the dollar	persistent strength
Second , the dollar is showing persistent strength despite a slowdown in the U.S. economy shown by economic indicators .	shown by	a slowdown in the U.S. economy	economic indicators
Combined with appropriate match pellets these rifles produce a consistent 10 ring performance , so a non-maximal result during the initial phase can be attributed to the participant .	Combined with	these rifles	appropriate match pellets
Combined with appropriate match pellets these rifles produce a consistent 10 ring performance , so a non-maximal result during the initial phase can be attributed to the participant .	produce	these rifles	a consistent 10 ring performance
Combined with appropriate match pellets these rifles produce a consistent 10 ring performance , so a non-maximal result during the initial phase can be attributed to the participant .	can be attributed to	a non-maximal result	the participant
